163;162;08/01/2021;01010707100230; ;;Roya;01010707.02518;;;239/2021;Berkas No.228/2021 Selesai Diserahkan
164;163;08/01/2021;01010608102412; ;;Peralihan Hak - Jual Beli;01010608.02448;;;238/2021;Berkas No.512/2021 Selesai Diserahkan
165;164;08/01/2021;01010602102671;COT MESJID;Lueng Bata;Pendaftaran Tanah Pertama Kali Pengakuan/Penegasan Hak;01010602.03218;;;3747/2020;Berkas No.7790/2020 Selesai Diserahkan
166;165;08/01/2021;HT 00585/2020;DOY;Ulee Kareng;Roya;;;;288/2021;
167;166;08/01/2021;01010205110097;SUKARAMAI;Baiturrahman;Pemisahan Bidang;01010205.02280;;;8448/2020;Berkas No.16373/2020 Selesai Diserahkan
168;167;08/01/2021;01010909100113; ;;Peralihan Hak - Pewarisan;01010909.02744;;;291/2021;Berkas No.570/2021 Selesai Diserahkan
169;168;08/01/2021;01010909100127; ;;Peralihan Hak - Pewarisan;01010909.02748;;;290/2021;Berkas No.576/2021 Selesai Diserahkan
170;169;08/01/2021;01010407102138; ;;Roya;01010407.02147;;;287/2021;Berkas No.521/2021 Selesai Diserahkan
171;170;08/01/2021;01010402100133; ;;Peralihan Hak - Jual Beli;01010402.00096;;;286/2021;Berkas No.547/2021 Selesai Diserahkan
172;171;08/01/2021;01010401111368; ;;Roya;01010401.12246;;;285/2021;Berkas No.519/2021 Selesai Diserahkan
173;172;08/01/2021;01010409100531; ;;Roya;01010409.02063;;;284/2021;Berkas No.522/2021 Selesai Diserahkan
174;173;08/01/2021;01010205100728; ;;Roya;01010205.00182;;;283/2021;Berkas No.523/2021 Selesai Diserahkan
175;174;08/01/2021;01010313110253; ;;Roya;01010313.02104;;;282/2021;Berkas No.524/2021 Selesai Diserahkan
176;175;08/01/2021;01010207102381; ;;Roya;01010207.02408;;;278/2021;Berkas No.556/2021 Selesai Diserahkan
177;176;08/01/2021;01010903102354; ;;Roya;01010903.02369;;;273/2021;Berkas No.553/2021 Selesai Diserahkan
178;177;08/01/2021;01010108110367;MULIA;Kuta Alam;Sertipikat Pengganti Karena Hilang;01010108.00671;;;81/2021;Berkas No.161/2021 Selesai Diserahkan
179;178;08/01/2021;01010405110488; ;;Roya;01010405.02244;;;272/2021;Berkas No.557/2021 Selesai Diserahkan
180;179;08/01/2021;01010608102090; ;;Roya;01010608.02085;;;271/2021;Berkas No.555/2021 Selesai Diserahkan
181;180;08/01/2021;01010409100409; ;;Roya;01010409.00072;;;270/2021;Berkas No.554/2021 Selesai Diserahkan
182;181;08/01/2021;01010607102139; ;;Roya;01010607.02543;;;269/2021;Berkas No.550/2021 Selesai Diserahkan
183;182;08/01/2021;01010905102235; ;;Roya;01010905.02240;;;268/2021;Berkas No.536/2021 Selesai Diserahkan
184;183;08/01/2021;01010107102107; ;;Roya;01010107.00855;;;267/2021;Berkas No.551/2021 Selesai Diserahkan
185;184;08/01/2021;01010102102135; ;;Peralihan Hak - Jual Beli;01010102.02059;;;265/2021;Berkas No.418/2021 Selesai Diserahkan
186;185;08/01/2021;01010603302396; ;;Peralihan Hak - Jual Beli;01010603.02540;;;264/2021;Berkas No.340/2021 Selesai Diserahkan
